street,avec_hebergement,sum(nb_visiteurs_max)
coursdumarechaljuin,N,7212
ruenicot,0,233
ruedeleglisestaugustin,0,44
ruejeanrenauddandicolleplacerodesse,1,140
ruedelacanau,0,110
residencedulackbt,0,23
ruedumontdurville,0,729
ruedeladevise,N,48
courssaintlouis,0,9836
placeandrmeunier,0,754
ruepaulbroca,0,953
ruedelhermitage,0,0
rueduvelodrome,0,12
ruecamnadalmeida,0,11
ruemaurice,0,7
coursdumarechalgallieni,0,261
ruedelabenauge,N,35
avenuedugolf,0,60
etavenueemilecounord,0,0
alleedeserr,0,188
ruedesfaures,1,60
ruedesconilsplacepeyberland,N,0
rueramonet,0,171
ruegalin,0,3643
voienouvelleentrelaruedesqueyriesetle,0,5
avenuedelarpublique,0,776
quaiarmandlalande,0,2516
bisplacedeschartrons,0,75
quaideschamps,0,982
ruepelousededouet,0,22
ruebuchou,0,372
ruenoviciat,0,212
ruefranisdolebelle,0,0
etruepaulbroca,N,130
ruedestreuils,0,80
ruesgur,0,0
quaidebienneruedelorenoqueetruedelouisiane,0,545
bisruemably,0,45
ruekieser,0,0
coursdalsacelorraine,0,240
rueanatolefrance,0,24
ruethodoregardere,0,0
ruedelobservanceetruehugla,0,47
aavenuedelabarde,0,0
rueduprofesseurgeorgesjeanneney,0,528
coursportalcoursdelamartinique,0,18
ruedemarseille,0,744
coursmarcnouaux,0,33
ruecasteja,0,470
ruesaintsimon,0,24
rueeugeneleroy,1,27
placeduchampdemars,0,19
rueemileduploy,0,0
cesplanadecharlesdegaulle,0,1257
angledelaplacelatule,0,2
quaidusenegaletquaidebacalan,0,61
hallduparcdesexpositions,0,0
ruededoumerc,0,70
rueportedijeaux,0,4148
boulevardpresidentwilson,0,142
ruejeanlalanne,0,226
ruecastelnaudauros,N,41
rueguenard,0,0
ruejeanrenauddandicolle,0,15
coursdupresaintmaurhenribrunet,0,76
coursalascelorraine,0,0
ruecharlevoixdevillers,0,228
ruedelurbe,0,30
avecharlesdegaulle,0,60
ruedelacourdesaides,0,164
avenuedesquarantejournaux,N,70
ruejeanne,0,0
rueleytere,0,32
quaidequeyries,N,6090
ruecolette,0,47
quaidebrienneruedelouisianeetruedelornoque,0,860
ruedeshollandaisetcoursduquebec,0,100
ruevilledieu,0,45
arueclaudeboucher,1,1458
ruebertranddegoth,0,0
ruedelaportedijeaux,0,516
rueduhamel,0,709
cclespassagesmeriadeck,0,0
ruedeladous,0,80
quaidesmarqueshangar,0,138
gymnasealicemilliat,0,0
quaibrazza,0,0
quaidesqueyriesrueraymondlavigne,0,150
impassefontainedeguillot,0,0
ruedecandale,0,296
ruekyri,0,0
bisruedelatourdegassies,0,2
ruejulesferry,0,9009
ruelaporte,0,90
ruemondenard,N,487
biscoursdumedoc,0,120
ruepauldoumerjeromemauvigney,0,225
ruepoitevin,0,76
coursanatolefrance,0,0
ruecarlevernet,0,792
rueduclotre,0,124
placesaintprojet,0,340
ruebougainvillelotzialfreddaney,N,60
placemenard,0,15
boulevardjoliotcurie,0,515
ruedupeugue,0,0
aruedupalaisgallien,0,156
ruedelaplateforme,1,0
bisrueespritdeslois,0,8
ruemaitrejean,0,1001
ruebouquire,0,215
ruemalbec,0,1860
courshenribrunet,0,0
bruederivire,0,0
ruecamillestsaens,0,80
rueterrasson,0,10
impassedudocteurjeanvincent,0,583
routedesaget,0,76
bordeauxplazaiiplaceravezie,0,78
alleelistrac,0,80
bruedudocteuralbertbarraud,0,10
placefernandlafargue,0,251
ruegaspardphilippe,0,31
boulevardalfreddaney,0,7383
ruemably,0,888
bisrueeugenejacquet,0,10
placeferdinandbuisson,0,463
ruechanoinealacaze,0,158
ruesaintrmi,0,510
rueemilehenriot,1,169
avenuevercingetorix,N,30
bisruearnaudmiqueu,0,45
ruededeyme,0,60
ruefernandaudeguil,0,40
ruecancera,0,0
ruejeanjacquesrousseau,0,198
ruedujonc,0,478
ruelagraveyre,0,6
ruederivire,0,113
rueabbdelpe,0,0
avenuedelajallere,0,379
rueornano,0,0
impassetraversanne,0,35
ruederiviere,0,20
ruepineau,0,192
quaidelamonnaie,0,460
tercoursxavierarnozan,0,0
rueeugeneleroy,0,114
ruegeorgesbonnac,1,517
ruejeandescas,0,263
ruedelbosetrueouagadougou,0,609
impassenol,0,8
placedelerme,0,250
avenuelabarde,0,20
rueserpolet,0,0
ruedecanolle,0,0
bisrueborie,0,12
ruedutempspass,0,38
bisruelafauriedemonbadon,0,4
ruecondorcet,0,1660
ruedudocteuralbertbarraud,0,502
rueracine,0,6
ruesduchateaudeaustsernin,0,3653
ruelouisgeandreau,0,0
ruelaplacette,0,196
airerafaelpadilla,0,0
coursdumarchaljuin,N,7212
ruebigot,0,77
quaidemonnaie,0,40
avenuehenrydunant,0,149
acoursalsaceetlorraine,0,60
coursbalguerie,0,0
placedescapucins,0,9268
coursclmenceau,0,59
ruepaullouislande,0,482
hallparcdesexpositions,0,3000
citmondiale,0,0
espacevertruepierretrbod,0,0
ruelabottiere,0,80
zacbastidenielilob,0,0
ruemarcsangnier,0,106
ruecambon,0,90
unionsaintbrunorenaudgaucher,0,0
ruedupalaisgallien,0,1520
ruesegalier,0,636
ruecornac,0,170
placejeanmoulin,0,354
bisruesaintsernin,0,10
avdumarechaldelattredetassigny,0,556
alleejeangionoruegustavecarde,0,762
ruedelaportedijeau,0,33
ruefurtadoruemalbec,0,533
ruedelafaiencerieetruelucienfaure,0,111
bisruemontbazon,0,13
iltedzacgaronneeiffel,1,22
bisruedornano,0,0
coursdelasomme,0,2179
coursduxxxjuillet,0,1284
rueedmondmichelet,0,69
ruedupassagesaintgeorges,0,0
ruedelafaencerie,0,5899
boulevardgeorgesv,0,9
ruedelabechade,1,493
placedelacomdie,N,198
bassinaflotnquaiarmandlalande,0,1303
ruedeseze,O,90
rueamedeesaintgermain,0,190
ruedeschamps,0,0
ruedelbos,N,169
esplanadelinne,0,444
avenueserrruenuyensruegustavecarde,0,0
avenuethiers,N,144
rueportedecaudran,0,0
bisruejulesferry,0,0
squareemilecombes,0,15
coursduraccodementetcourslouisfargue,0,800
coursdumdoc,N,0
ruedesaintgenes,1,21
zacdeschartronsilotoplacedesvignes,0,19
ruecereyavenuelouisbarthou,0,0
gymnasechauffour,0,0
ruecadrouin,0,100
boulevarddaquitaineetrueduguaytrouin,0,0
avdestroiscardinaux,0,100
ruepierretrebod,0,3558
ruerogermirassou,0,60
ruedutonduruesteccile,0,20
ruedudocteuraschweitzer,0,200
ruedelavieilletour,1,20
ruedescheverus,0,10
pldelafermederichemont,0,74
coursedouardvaillant,0,776
rueblancdutrouilh,0,48
ruedutemple,0,336
ruemozart,0,30
ruelafiteau,0,22
boulevardalberteretruelouiscabi,0,236
anenuiemarceldassault,0,144
ruejeanhameau,0,113
ruebouffard,1,37
ccoursdumarechalgallieni,0,0
avmarechaldelattredetassignyetruegle,0,50
ruehonorepicon,0,5
quaisdelagaronne,0,0
ruenaujac,0,151
rueprinot,0,24
bisruedelecolenormale,0,283
placeraymondcolom,0,0
bassinaflotsnquaiarmandlalande,0,662
angleruebecketplacedarmagnac,0,544
bisboulevardjeanjacquesbosc,0,0
ruedeladauphine,0,12
ruepascalmothescoursdelyser,N,176
ruegrateloupcoursdelargonne,0,86
ruecharlesdomercq,0,2129
boulevardjeanjacqusbosc,0,45
coursdetournon,0,14
quaidebrienneetruedelornoque,0,138
alleedechartres,0,90
rueabbedelepee,1,44
zacraveziessud,0,19
zacdeginkoilotb,0,5
placecasablanca,0,26
impassegalile,0,0
garesaintjean,0,2655
quaidebrienne,0,1283
coursdumarchalfoch,0,72
rueserr,0,1274
quaidebriennebdjeanjacquesboscetruedelouisiane,0,623
ruedelarousselleetcoursvictorhugo,0,0
angleruevilledieuetruesaintgenes,0,10
ruecharlesdomercq,1,170
ruecamillegodard,N,30
rueduprofesseurandrlavignolle,N,56
ruedelacourse,N,50
ruedelaboetie,0,0
allederatabou,0,5880
ruerobertschumanetruepierretrbod,0,313
allesdetourny,0,2013
ruefernandcazeres,0,679
placenansouty,0,8
ruedeladevise,0,392
ruepoirier,0,0
placemontaud,0,150
ruecorpsfrancpommies,0,190
passagebrian,0,129
ruebordier,0,0
coursdujuillet,0,200
ruetoulouselautrec,1,14
ruedarmagnacetplacedarmagnac,0,0
angleruesdepessacetdebudos,0,65
ruemontmejan,1,12
ruelajaunie,0,90
aruedemarseilleruechevalier,0,11
ruejudaique,0,2463
ruesayres,0,0
ruefranoisdesourdis,0,30
ruelafayette,0,133
rueguynemer,0,3
avenuedugnraldelarminat,0,884
ruefrancoiscoppee,0,150
ruecommandantarnoult,0,15
rueduprofesseurmoreau,0,20
ruearistidesousamendes,0,325
coursbricaud,0,0
ruedumuguet,0,0
bdjeanjacquesbosc,0,671
ruestecolombe,0,40
ruedarlac,0,69
coursstcatherine,0,0
avenueemilecounordilotportmann,0,433
rueduret,0,12
ruegendreau,0,40
ecoquartierdulaccoursduquebec,0,21
aquaideschartrons,0,314
boulevardantoinegauthier,N,48
ruedujardinpublicpaulverlaine,0,88
bisrueduffourdubergier,0,5
allesdechartres,0,24
ruecerey,0,3834
placedelafermederichemont,N,60
ruebalgueriestuttenbergruepoyenne,0,35
ruedesacacias,0,90
ruedelecolenormaleruedugrandlebrun,0,192
ruedocteurcharlesnancelpenard,0,40
rueduxinovembre,0,10
gymnasebrocas,0,0
ruethiac,N,40
ruenauville,0,0
rueligierrueservandoni,0,0
placedeleglisestaugustin,0,2154
ruedumirail,N,0
ruebaudrylacantinerie,0,302
etbisavenuedujeudepaume,0,20
ruejeanrichepinetfranoiscoppe,0,0
ruefrancoisraganeau,0,0
coursdelyser,N,316
ruebelleville,0,98
biscoursdumarchaljuin,0,3
rueflornoy,0,0
citedeleglisesaintaugustin,0,2
ruepierre,0,15
quaidequeyires,0,0
ruedetauzin,0,253
ruepaulmamert,0,13
coursdutramway,0,0
ruesmablyetjjrousseau,0,0
ruecancra,0,33
avenuedesfranaislibres,0,3654
coursdelyser,0,908
ruegaratocoursdemarne,0,100
alleedetourny,0,118
ruedupaty,0,44
ruevitalcarles,0,409
sisruedugnralgouraud,0,0
ruemonneron,0,16
ruepuysegur,0,10
ruedenaujac,0,7
ruedupetitbarail,0,2149
bisrueducommandantarnould,0,70
placedumarchedeschartrons,0,2750
boulevardgodardrueclaudeboucher,0,0
ruemazarin,0,121
rueboulan,0,108
ruecamillegogard,0,39
ruenotredame,0,1038
ruemonsarrat,0,36
placepierrerenaudel,0,978
ruewalterpoupot,0,604
ruehonoretessier,0,20
avenuegeneraldelarminat,0,481
ruelabottire,0,152
ruecharazac,0,19
ruecasteja,1,710
rueducanceraruedupasstgeorges,0,31
placedesmartyrsdelaresistance,0,1848
ruedesconils,0,58
ruedesbleuets,0,8
ruecastelnaudauros,0,229
bisruedestrasbourg,0,0
etruemargaux,0,90
quaidegironderuedesetrangers,0,306
terrassefrontdumedoc,0,0
coursbalgueriestuttenbergetrueduc,0,55
coursevrarddefayolles,0,0
ruecroixdeseguey,N,0
etplacerenemaran,0,170
placedugnralsarrail,0,0
ruejeandemalet,0,0
bisalledeserr,0,0
ruesaintjames,0,542
ruedeturenne,0,274
ruetustal,0,0
centrecommerciallespassages,0,221
ruedelabchade,0,302
anglecoursdumedocetavenueemilecounord,0,15
passagedelajallemaildesbordelais,0,131
ruetillet,N,8
ruejeangabrieldomergue,0,631401
ruelacroixruegoya,0,7
courspasteur,0,2332
ruechantecrit,0,502
rueravez,0,472
rueducolonelgrandiervazeille,0,21
bisruebertranddegoth,0,30
impassefaye,0,87
ruefenelon,0,8
ruesaintethrse,0,0
coursdelamarnecoursbarbeyrueferbos,0,884
ruedugrandbarail,0,1496
immeublemegarama,0,0
ruelucienfaureetsentedescarrelets,0,722
flchesaintmichel,0,0
ruedelatourdegassies,0,50
placelucienvictormeunier,0,0
ruejeanartus,0,319
coursdeverdun,N,34
ruedesfrresportman,0,24
ruecarton,0,0
ruesagetquaidepaludate,1,0
boulevardduprsidentfranklinroosevelt,0,256
ruegiaccomomatteoti,0,160
ruemanoncormier,N,66
ruesjeanartusetdudralbertschweitzer,0,290
coursdelintendanceruestecatherine,N,163
coursdelintendance,N,265
boulevardgeorgev,0,320
ruedebeziers,0,59
placedormoy,0,0
quaidequeyriesilotbbtimentb,0,96
plainedessportsquaidessalinires,0,1500
ruecostedoat,0,55
coursdelargonne,1,430
bisruedespalanques,0,567
ruedudocteuralbertbarraud,1,28
rueprmeynard,0,139
coursvhugo,0,1173
ruedesremparts,0,527
avenueandrereinson,0,1281
rueducardinalrichaud,N,94
ruehriarddubreuil,0,3
coursstlouis,N,5
ruevergniaud,0,0
niveau,N,0
bouldjeanjacquesbosc,0,50
ruechateaujouguetreschjouguetapp,0,12
ruexavierarsnehenry,0,434
ruepeyronnetruedetauzia,0,46
coursdelntendance,0,166
zonedentrepotsalfreddaney,0,10
ruepaullouislandes,0,18
ruepierretrebodet,0,12
rueachard,0,2213
bisrueblancdutrouilh,0,0
avedesjournaux,0,6
rueperelouisdejabrun,N,0
ruedemerignac,0,184
ruecharlesmarionneau,0,0
rueeliseredclus,0,0
ruejacquesdwelles,0,189
quaidumaroc,0,593
ruesamuelkirsz,0,8
boulevardgodardetruedudocteurfinlay,0,147
alleehaussmann,0,19
ruegensan,0,50
avenuethiers,0,7593
ruedecauderan,1,14
ruedesvignerons,0,20
coursjournuauber,1,64
placestprojet,0,132
ruedesvignes,0,159
rueprunierruepierrechareau,0,80
ruedeblaye,0,19
quaidesqueyries,0,3661
ruesaintecolombe,0,218
coursjulesladoumegue,0,28775
bisrueemilecombes,0,0
rueberruer,0,20
ruebrascassat,0,20
ruesaintececile,0,90
ruedecauderan,0,7
avdesquarantejournaux,0,247
rueguyart,0,470
ruedespiliersdetutelles,0,40
bisruejudaque,0,0
ruedesallamendiers,0,37
ruelagrange,0,628
hangarlotset,N,0
avgeneralleclerc,0,75
ruebergeret,0,0
parcdessportssaintmichel,0,0
ruedesolfrino,0,120
avalienordaquitaine,0,111
rsidencevanillierruehenriexpert,N,8
ruedudocteurhoffmannmartinot,0,792
ruefondaudege,0,784
avenuemarechaldelattredetassigny,0,1443
citedutrey,0,4
ruelatesta,0,3
galeriebordelaise,0,129
ruedepessacangleruedesgur,0,105
ruedetivolietruelabottire,0,80
placecamillejuillan,0,42
crsdelamartinique,0,53
ruedesremparts,N,6
placedeschartrons,0,300
coursdelamarne,0,8156
rueregnier,0,8
niveauo,0,11720
bisruebonnefin,0,0
bisplacepaulavisseau,0,0
ruecourpon,0,134
quaidumarocetruedegironde,0,70
terrueboudet,0,50
placedupalais,0,267
boulevardmarchalleclerc,0,184
placelouisbarthou,N,0
rueduprofesseurtimothepichaud,0,0
avenuemarechaldelattredetassigny,N,270
ccmeriadeck,0,3
ruegustavecardeetruedelarotonde,0,0
rueeugnetnot,0,23
ruebranger,0,0
placeduchapelet,0,1700
alleeugnedelacroix,0,636
terrassedufrontdumedoc,0,277
placegavinies,0,0
rueferrere,N,20
ruededijon,0,1213
ruedelacroixblanche,0,2664
ruerenmagne,0,732
ruesaintfranois,0,39
rueleberthon,0,12
hallesdeschartrons,0,0
ruedelapasserelle,N,80
ruedestroisconilsimpassesaintprojet,0,86
ruedelacroixblancheetruerogerallo,0,43
etruesaintecolombe,0,121
ruedesayres,N,0
ruedesrempart,0,54
ruestecolombebisruebuhan,0,43
ruedesfaures,0,1492
coursdeluze,0,2246
ruedubourdieu,1,46
cciallespassagesdemriadecklot,0,0
ruerenecassin,0,2811
ruebaour,0,692
crsdelintendance,0,0
aavenuelouisbarthou,N,90
ruesaige,0,74
placedelafermederichemond,0,185
"",N,228
placeduprado,0,10
rueportedijeaux,N,12
bisplacepeyberland,0,19
ruesaintgenes,0,5686
ruemaubourguet,0,30
ruedecaudran,0,5
ruegeorgesmandel,0,28
ruesablonat,0,80
courslouisfargue,0,207
rueachardetcitdutrey,0,15
ruemontesquieu,1,95
ruedesaintgenesbisruedesegur,1,450
boulevardgodardlotb,0,200
avenuepasteur,0,23
avenuedestrasbourg,0,10
zacsaintjeanbelcierlot,0,800
alleedespins,N,95
marchdescapucins,0,0
rueduparstecatherine,0,50
aruejosephabria,0,50
ruegrassi,0,116
ruescharlesdomercqetpierreloti,0,0
ruemariusfaget,0,10
ruedesaget,0,75
ruecamillegodard,0,419
ruecharlesdomercq,N,36
rueportedelamonnaie,0,162
logesn,0,39
avenuedelagare,0,231
biscoursdumdoc,0,107
paliasdescongrs,0,0
passagedelagaleriebordelaise,0,23
placeducolonelraynal,0,149
ruestsimeon,0,44
ruemarceau,0,12
bisruegeorgesmandel,0,0
squarejeanvauthier,0,774
ruedugnraldelarminat,0,171
quaidebrienneilotazacbelcier,0,181
rueyvesglotin,0,192
boulevardmarchalleclercimmeubleleplazabta,0,9
ruefrere,0,12
ruesaintmaurruemontgolfier,0,843
ruefurtado,N,40
avalienordaqutaine,0,110
bisruemonsarrat,0,0
ruedemontesquieu,0,106
ruedelbos,0,245
rueduparlementsaintecatherine,0,669
etruedesargentiers,0,195
rueloncemotelay,0,0
ruemouneyra,0,981
ruerobertcaumont,0,375
crsedouardvaillant,0,98
bisruedesegur,0,15
aquaidepaludate,0,66
ruedesgamins,0,23
rueouagadougourueblanquiruedelbos,0,0
bassinflotn,0,2
avenuedelarepublique,0,978
alleesdorleans,0,436
ruedudrjeanvincent,0,22
ruesaintetherese,0,45
ruedalembert,0,54
rueducouvent,0,57
etcoursdumarchaljuin,0,1667
ruedeayres,0,25
rueduparlementstecatherine,1,186
ruesaintvincentdepaul,N,6
ruemably,N,0
ruesaintvincentdepaul,1,50
ruedelarousselle,N,34
ruelenotre,0,35
ruedegironde,0,354
avenuedelajallre,0,-17084
ruedeslauriers,0,96
ruelatour,0,108
avenuedesquarantesjournaux,0,273
ruevoltaire,0,545
ruedelegliseetavenuelouisbarthou,0,8
boulevardjulessimon,0,13
ruefrancisgarnier,0,2429
placedelavictoire,N,1300
crsvictorhugo,0,1369
ruedugenerallarminat,0,8
ruejacquescamilleparis,0,50
ruesaintecatherine,0,16086
avenuecarnot,0,457
hangarlot,0,2339
ruehortense,0,573
ruedomion,0,1500
ruecausserouge,0,195
ruedarmagnac,1,1197
ruenicot,N,19
ruedelabenaugeetruefernandpalau,0,5442
placedumarchdeschartrons,0,1677
quaidelagrave,0,110
coursvictorhugo,1,28
reudelacroixblanche,0,0
ruestnicolas,0,50
ruerenire,0,0
coursdalbret,0,2060
ruedelaseiglireetquaidepaludate,0,10
rueadrienbaysselance,0,120
placenansoutyanglecoursdelasomme,0,12
avenuedumarchaldelattredetassigny,0,216
avenuecharlesdegaulle,N,20
ruedelalouisianeruedeslaurentides,0,364
unionsaintbrunorenaudgaudcherruebrizard,0,0
ruedenghien,0,14
ruevauban,0,316
centrecommerciallespassagescmk,0,1403
rueducdtarnould,0,20
placefernandlafargueruebouquire,0,17
boulevardgodardruemandron,0,10
rsidencesaintjeancoursdelamarne,1,160
ruepascalmothes,0,150
arueclaudeboucher,0,8
placetteentrehangarset,0,0
anglecourscharlesbricaudetruegermaine,0,225
coursalsacelorraine,0,570
ruemaccarthy,0,34
ruechauffour,0,285
rueducommerce,0,1511
rueduguaytrouin,0,2476
alleserrcs,0,0
maildesbordelais,0,27
bddupresidentwilson,0,141
placerohan,0,221
ilotaplaceravezies,0,191
placesimiot,0,175
ruesaintfrancois,0,60
ruesaintvincentdepaul,0,57
avenuedesjournaux,0,3906
placesaintpierre,0,779
ruemablypldesgrandshommes,0,19
placeavisseau,0,0
quaidequeyriesembarcadremontesquieu,0,0
ruedesargentiersruedelatourdegassies,0,15
ruebrun,0,800
bisruepasteur,0,0
pontdeguit,0,0
sentedesmarinires,0,10
rueduparlementstpierre,N,40
ruedeyries,N,20
grandthtre,0,0
ruedugrandrabbincohen,0,100
ruedesetuves,0,88
rueduport,0,147
ruesaintjames,N,90
terrassedufrontdumdoc,0,136
ruejeanodinexhenricollignon,0,40
rueleosaignat,0,7668
bisruebrizard,0,155
placedesmatyrsdelaresistance,0,0
ruecharlesnancelpenard,0,19
rueedouardfaure,0,1272
ruedaubidey,0,1
ruedupetitgoave,0,178
quaisaintecroix,0,1103
aruehanappier,0,128
ruedelalibert,0,19
avenueraymondpoincare,0,442
avenuethierslmentaire,0,229
ruedumarechaljoffre,0,317
ruechantecrit,N,0
hallceb,N,0
coursdeverdunetcrsdegourgue,0,12
bisruejeanrenauddandicolle,0,37
placejeanjaures,0,265
ruelouisbarthou,0,11
ruedunoviciat,1,51
placevictorraulinbisrueachard,0,1156
ruecamillegodardetavenueemilecounord,0,33
ruedelamottepiquet,0,153
avenuedugeneralleclerc,0,350
placeamlierabalon,0,1026
ruedetauzia,N,0
placegambetta,N,0
rueplanterose,0,215
boulevarddumarechalleclerc,N,300
ruecharlesmonselet,0,35
ruesblanquiruedesetrangersetrueachard,N,0
rueduprofesseurvezes,N,80
ruefondaudege,O,167
ruegeorgesmandel,N,9
dalledupertuisbassinflotn,0,282
avenuelucienfaurebatf,0,111
rueduchateaudeau,0,13294
rueetiennehuyard,0,29
bisruedesfrresportman,0,60
ruealbertthomas,0,1442
ruemoulinie,0,25
ruelafontaine,N,0
boulevarddupresidentwilson,O,12
ruejosephbrunet,N,45
placerenemaran,0,0
ruejeanneney,0,128
quairichelieu,0,819
ruedegrassi,0,1698
ruecapdeville,0,21
rueduchteaudeau,0,1366
ruejulesmichelet,0,13
boulevardalbertpremier,0,0
ruesaintgens,0,719
placesainteeulalie,0,1361
ruesaintephilomene,0,12
ruesamenude,0,0
ruesaintcatherineruedespiliersdetutelle,0,76
bassinaflotsnquaiarmandlalande,N,47
ruedupalisgallien,0,0
ruedelaportedelamonnaie,0,5
avenuegeorgesclmenceau,0,12
bisrueamedeesaintgermain,0,0
ruedetaurgua,0,0
ruejeandupas,0,675
ruedufortlouis,0,80
avenuemarceldassault,0,546
coursbalguriestuttenberg,0,18
rueabbdelepe,0,18
placeduxinovembrerueoreilly,0,300
ruehuguerie,N,69
ruegarat,0,76
ruedetivolietruerivireruedemacau,0,180
batimentgruelucienfaure,0,95
ruebouffard,N,46
thatrenationaldebordeauxenaquitaine,0,0
boulevarddugnralleclerc,0,0
placelouisbarthou,0,275
ruegouffrand,0,227
ruelouisbraille,0,30
ruealexanderfleming,0,1091
lotzacderaveziesud,N,80
ruetheodoregardere,N,0
ruedecarton,0,0
placeadolphebuscaillet,0,324
courslucienfaureetruedecanis,0,113
ruedechateauneuf,N,0
rueachardangleruedeouagadougou,0,467
coursalsacelorraine,N,24
ruestserninrueedmondmichelet,0,35
etruerenmagne,0,4
placedugeneralsarrail,0,272
avenuedenontraste,0,251
paullouislande,0,10
parcdesexpositionshall,0,0
biscoursdelamarne,0,87
bdalienordaquitainerueeginestous,0,68
